June 14th, 2014
"000 CDUS41 KBUF 151015 CLIBUF CLIMATE REPORT NATIONAL WEATHER SERVICE BUFFALO NY 614 AM EDT SUN JUN 15 2014 ................................... ...THE BUFFALO NY CLIMATE SUMMARY FOR JUNE 14 2014... CLIMATE NORMAL PERIOD 1981 TO 2010 CLIMATE RECORD PERIOD 1871 TO 2014 WEATHER ITEM OBSERVED TIME RECORD YEAR NORMAL DEPARTURE LAST VALUE (LST) VALUE VALUE FROM YEAR NORMAL .................................................................. TEMPERATURE (F) YESTERDAY MAXIMUM 62 545 PM 91 2001 75 -13 72 1945 MINIMUM 53 1159 PM 43 1946 57 -4 55 AVERAGE 58 66 -8 64 PRECIPITATION (IN) YESTERDAY 0.00 1.31 1947 0.14 -0.14 0.00 MONTH TO DATE 2.68 1.78 0.90 4.96 SINCE JUN 1 2.68 1.78 0.90 4.96 SINCE JAN 1 20.21 16.79 3.42 19.06 SNOWFALL (IN) YESTERDAY 0.0 0.0 MM 0.0 0.0 0.0 MONTH TO DATE 0.0 0.0 0.0 0.0 SINCE JUN 1 0.0 0.0 0.0 0.0 SINCE JUL 1 129.9 94.7 35.2 58.8 SNOW DEPTH 0 DEGREE DAYS HEATING YESTERDAY 7 2 5 1 MONTH TO DATE 25 44 -19 51 SINCE JUN 1 25 44 -19 51 SINCE JUL 1 7122 6597 525 6083 COOLING YESTERDAY 0 3 -3 0 MONTH TO DATE 42 32 10 18 SINCE JUN 1 42 32 10 18 SINCE JAN 1 65 58 7 89 .................................................................. WIND (MPH) HIGHEST WIND SPEED 20 HIGHEST WIND DIRECTION W (250) HIGHEST GUST SPEED 25 HIGHEST GUST DIRECTION W (260) AVERAGE WIND SPEED 10.4 SKY COVER POSSIBLE SUNSHINE 19 PERCENT AVERAGE SKY COVER 0.7 WEATHER CONDITIONS THE FOLLOWING WEATHER WAS RECORDED YESTERDAY. NO SIGNIFICANT WEATHER WAS OBSERVED. RELATIVE HUMIDITY (PERCENT) HIGHEST 93 1100 PM LOWEST 60 400 PM AVERAGE 77 .......................................................... THE BUFFALO NY CLIMATE NORMALS FOR TODAY NORMAL RECORD YEAR MAXIMUM TEMPERATURE (F) 75 93 1994 MINIMUM TEMPERATURE (F) 57 44 1961 SUNRISE AND SUNSET JUNE 15 2014..........SUNRISE 535 AM EDT SUNSET 856 PM EDT JUNE 16 2014..........SUNRISE 535 AM EDT SUNSET 856 PM EDT - INDICATES NEGATIVE NUMBERS. R INDICATES RECORD WAS SET OR TIED. MM INDICATES DATA IS MISSING. T INDICATES TRACE AMOUNT."
[
    [ 0] "TEMPERATURE (F) YESTERDAY MAXIMUM 62 545",
    [ 1] "PM 91 2001 75 -13 72 1945",
    [ 2] "MINIMUM 53 1159",
    [ 3] "PM 43 1946 57 -4 55",
    [ 4] "AVERAGE 58 66 -8 64",
    [ 5] "PRECIPITATION (IN) YESTERDAY 0.00 1.31 1947 0.14 -0.14 0.00",
    [ 6] "MONTH TO DATE 2.68 1.78 0.90 4.96",
    [ 7] "SINCE JUN 1 2.68 1.78 0.90 4.96",
    [ 8] "SINCE JAN 1 20.21 16.79 3.42 19.06",
    [ 9] "SNOWFALL (IN) YESTERDAY 0.0 0.0",
    [10] "MM 0.0 0.0 0.0",
    [11] "MONTH TO DATE 0.0 0.0 0.0 0.0",
    [12] "SINCE JUN 1 0.0 0.0 0.0 0.0",
    [13] "SINCE JUL 1 129.9 94.7 35.2 58.8",
    [14] "SNOW DEPTH 0",
    [15] "DEGREE DAYS HEATING YESTERDAY 7 2 5 1",
    [16] "MONTH TO DATE 25 44 -19 51",
    [17] "SINCE JUN 1 25 44 -19 51",
    [18] "SINCE JUL 1 7122 6597 525 6083",
    [19] "COOLING YESTERDAY 0 3 -3 0",
    [20] "MONTH TO DATE 42 32 10 18",
    [21] "SINCE JUN 1 42 32 10 18",
    [22] "SINCE JAN 1 65 58 7 89"
]
