August 5th, 2014
"000 CDUS41 KBUF 061245 CLIBUF CLIMATE REPORT NATIONAL WEATHER SERVICE BUFFALO NY 604 AM EDT WED AUG 6 2014 ................................... ...THE BUFFALO NY CLIMATE SUMMARY FOR AUGUST 5 2014... CLIMATE NORMAL PERIOD 1981 TO 2010 CLIMATE RECORD PERIOD 1871 TO 2014 WEATHER ITEM OBSERVED TIME RECORD YEAR NORMAL DEPARTURE LAST VALUE (LST) VALUE VALUE FROM YEAR NORMAL .................................................................. TEMPERATURE (F) YESTERDAY MAXIMUM 74 1151 AM 93 2001 80 -6 73 1947 MINIMUM 63 1159 PM 45 1972 62 1 50 AVERAGE 69 71 -2 62 PRECIPITATION (IN) YESTERDAY 0.09 1.34 1885 0.10 -0.01 0.00 MONTH TO DATE 1.55 0.55 0.00 0.90 SINCE JUN 1 10.80 7.44 3.36 10.92 SINCE JAN 1 28.33 22.45 5.88 25.02 SNOWFALL (IN) YESTERDAY 0.0 0.0 MM 0.0 0.0 0.0 MONTH TO DATE 0.0 0.0 0.0 0.0 SINCE JUN 1 0.0 0.0 0.0 0.0 SINCE JUL 1 0.0 0.0 0.0 0.0 SNOW DEPTH 0 DEGREE DAYS HEATING YESTERDAY 0 0 0 3 MONTH TO DATE 0 0 0 3 SINCE JUN 1 38 73 -35 73 SINCE JUL 1 10 9 1 9 COOLING YESTERDAY 4 6 -2 0 MONTH TO DATE 28 30 -2 10 SINCE JUN 1 306 330 -24 349 SINCE JAN 1 329 356 -27 420 .................................................................. WIND (MPH) HIGHEST WIND SPEED 12 HIGHEST WIND DIRECTION N (340) HIGHEST GUST SPEED 14 HIGHEST GUST DIRECTION N (340) AVERAGE WIND SPEED 4.5 SKY COVER POSSIBLE SUNSHINE 24 PERCENT AVERAGE SKY COVER 0.7 WEATHER CONDITIONS THE FOLLOWING WEATHER WAS RECORDED YESTERDAY. THUNDERSTORM LIGHT RAIN FOG HAZE RELATIVE HUMIDITY (PERCENT) HIGHEST 87 1200 AM LOWEST 57 1200 PM AVERAGE 72 .......................................................... THE BUFFALO NY CLIMATE NORMALS FOR TODAY NORMAL RECORD YEAR MAXIMUM TEMPERATURE (F) 79 94 1947 MINIMUM TEMPERATURE (F) 62 47 1886 SUNRISE AND SUNSET AUGUST 6 2014........SUNRISE 611 AM EDT SUNSET 830 PM EDT AUGUST 7 2014........SUNRISE 612 AM EDT SUNSET 828 PM EDT - INDICATES NEGATIVE NUMBERS. R INDICATES RECORD WAS SET OR TIED. MM INDICATES DATA IS MISSING. T INDICATES TRACE AMOUNT. THE NATIONAL WEATHER SERVICE IN BUFFALO IS PROPOSING DISCONTINUANCE OF THE SUNSHINE MINUTES FOR BUFFALO NY ON SEPTEMBER 1ST 2014. ANY COMMENTS OR CONCERNS ABOUT DISCONTINUING THE SUNSHINE MEASUREMENTS FOR BUFFALO SHOULD BE DIRECTED TO DAN KELLY AT: DAN.KELLY@NOAA.GOV OR 716-565-0204."
[
    [ 0] "TEMPERATURE (F) YESTERDAY MAXIMUM 74 1151",
    [ 1] "AM 93 2001 80 -6 73 1947",
    [ 2] "MINIMUM 63 1159",
    [ 3] "PM 45 1972 62 1 50",
    [ 4] "AVERAGE 69 71 -2 62",
    [ 5] "PRECIPITATION (IN) YESTERDAY 0.09 1.34 1885 0.10 -0.01 0.00",
    [ 6] "MONTH TO DATE 1.55 0.55 0.00 0.90",
    [ 7] "SINCE JUN 1 10.80 7.44 3.36 10.92",
    [ 8] "SINCE JAN 1 28.33 22.45 5.88 25.02",
    [ 9] "SNOWFALL (IN) YESTERDAY 0.0 0.0",
    [10] "MM 0.0 0.0 0.0",
    [11] "MONTH TO DATE 0.0 0.0 0.0 0.0",
    [12] "SINCE JUN 1 0.0 0.0 0.0 0.0",
    [13] "SINCE JUL 1 0.0 0.0 0.0 0.0",
    [14] "SNOW DEPTH 0",
    [15] "DEGREE DAYS HEATING YESTERDAY 0 0 0 3",
    [16] "MONTH TO DATE 0 0 0 3",
    [17] "SINCE JUN 1 38 73 -35 73",
    [18] "SINCE JUL 1 10 9 1 9",
    [19] "COOLING YESTERDAY 4 6 -2 0",
    [20] "MONTH TO DATE 28 30 -2 10",
    [21] "SINCE JUN 1 306 330 -24 349",
    [22] "SINCE JAN 1 329 356 -27 420"
]
