September 25th, 2014
"000 CDUS41 KBUF 261010 CLIBUF CLIMATE REPORT NATIONAL WEATHER SERVICE BUFFALO NY 607 AM EDT FRI SEP 26 2014 ................................... ...THE BUFFALO NY CLIMATE SUMMARY FOR SEPTEMBER 25 2014... CLIMATE NORMAL PERIOD 1981 TO 2010 CLIMATE RECORD PERIOD 1871 TO 2014 WEATHER ITEM OBSERVED TIME RECORD YEAR NORMAL DEPARTURE LAST VALUE (LST) VALUE VALUE FROM YEAR NORMAL .................................................................. TEMPERATURE (F) YESTERDAY MAXIMUM 75 343 PM 87 2007 67 8 71 MINIMUM 55 722 AM 36 1887 50 5 43 AVERAGE 65 59 6 57 PRECIPITATION (IN) YESTERDAY 0.00 1.47 2005 0.14 -0.14 0.00 MONTH TO DATE 3.13 3.20 -0.07 3.53 SINCE SEP 1 3.13 3.20 -0.07 3.53 SINCE JAN 1 33.07 28.36 4.71 31.16 SNOWFALL (IN) YESTERDAY 0.0 0.0 MM 0.0 0.0 0.0 MONTH TO DATE 0.0 0.0 0.0 0.0 SINCE SEP 1 0.0 0.0 0.0 0.0 SINCE JUL 1 0.0 0.0 0.0 0.0 SNOW DEPTH 0 DEGREE DAYS HEATING YESTERDAY 0 7 -7 8 MONTH TO DATE 107 95 12 136 SINCE SEP 1 107 95 12 136 SINCE JUL 1 129 122 7 152 COOLING YESTERDAY 0 1 -1 0 MONTH TO DATE 56 50 6 49 SINCE SEP 1 56 50 6 49 SINCE JAN 1 502 537 -35 601 .................................................................. WIND (MPH) HIGHEST WIND SPEED 12 HIGHEST WIND DIRECTION E (70) HIGHEST GUST SPEED 16 HIGHEST GUST DIRECTION E (110) AVERAGE WIND SPEED 4.8 SKY COVER AVERAGE SKY COVER 0.5 WEATHER CONDITIONS THE FOLLOWING WEATHER WAS RECORDED YESTERDAY. NO SIGNIFICANT WEATHER WAS OBSERVED. RELATIVE HUMIDITY (PERCENT) HIGHEST 83 600 AM LOWEST 44 300 PM AVERAGE 64 .......................................................... THE BUFFALO NY CLIMATE NORMALS FOR TODAY NORMAL RECORD YEAR MAXIMUM TEMPERATURE (F) 67 87 1959 MINIMUM TEMPERATURE (F) 50 35 1943 1928 SUNRISE AND SUNSET SEPTEMBER 26 2014.....SUNRISE 707 AM EDT SUNSET 705 PM EDT SEPTEMBER 27 2014.....SUNRISE 708 AM EDT SUNSET 703 PM EDT - INDICATES NEGATIVE NUMBERS. R INDICATES RECORD WAS SET OR TIED. MM INDICATES DATA IS MISSING. T INDICATES TRACE AMOUNT."
[
    [ 0] "TEMPERATURE (F) YESTERDAY MAXIMUM 75 343",
    [ 1] "PM 87 2007 67 8 71",
    [ 2] "MINIMUM 55 722",
    [ 3] "AM 36 1887 50 5 43",
    [ 4] "AVERAGE 65 59 6 57",
    [ 5] "PRECIPITATION (IN) YESTERDAY 0.00 1.47 2005 0.14 -0.14 0.00",
    [ 6] "MONTH TO DATE 3.13 3.20 -0.07 3.53",
    [ 7] "SINCE SEP 1 3.13 3.20 -0.07 3.53",
    [ 8] "SINCE JAN 1 33.07 28.36 4.71 31.16",
    [ 9] "SNOWFALL (IN) YESTERDAY 0.0 0.0",
    [10] "MM 0.0 0.0 0.0",
    [11] "MONTH TO DATE 0.0 0.0 0.0 0.0",
    [12] "SINCE SEP 1 0.0 0.0 0.0 0.0",
    [13] "SINCE JUL 1 0.0 0.0 0.0 0.0",
    [14] "SNOW DEPTH 0",
    [15] "DEGREE DAYS HEATING YESTERDAY 0 7 -7 8",
    [16] "MONTH TO DATE 107 95 12 136",
    [17] "SINCE SEP 1 107 95 12 136",
    [18] "SINCE JUL 1 129 122 7 152",
    [19] "COOLING YESTERDAY 0 1 -1 0",
    [20] "MONTH TO DATE 56 50 6 49",
    [21] "SINCE SEP 1 56 50 6 49",
    [22] "SINCE JAN 1 502 537 -35 601"
]
