DATE,MINIMUM,MAXIMUM,AVERAGE
20140420,33,52,43
20140421,36,71,54
20140422,47,71,59
20140423,38,64,51
20140424,36,47,42
20140425,32,54,43
20140426,38,65,52
20140427,37,47,42
20140428,38,54,46
20140429,37,58,48
20140430,48,58,53
20140501,48,55,52
20140502,44,53,49
20140503,42,49,46
20140504,42,56,49
20140505,39,53,46
20140506,37,56,47
20140507,42,60,51
20140508,44,68,56
20140509,50,79,65
20140510,59,82,71
20140511,47,65,56
20140512,43,70,57
20140513,54,75,65
20140514,63,85,74
20140515,60,81,71
20140516,50,78,64
20140517,44,50,47
20140518,41,56,49
20140519,42,59,51
20140520,45,61,53
20140521,48,71,60
20140522,54,72,63
20140523,51,67,59
20140524,48,54,51
20140525,48,65,57
20140526,47,72,60
20140527,55,72,64
20140528,59,75,67
20140529,56,67,62
20140530,53,68,61
20140531,49,75,62
20140601,51,74,63
20140602,50,83,67
20140603,66,81,74
20140604,60,76,68
20140605,52,70,61
20140606,50,65,58
20140607,48,68,58
20140608,50,80,65
20140609,57,79,68
20140610,56,75,66
20140611,60,77,69
20140612,67,83,75
20140613,67,78,73
20140614,58,75,67
20140615,53,62,58
20140616,50,77,64
20140617,58,80,69
20140618,63,87,75
20140619,64,76,70
20140620,56,76,66
20140621,50,75,63
20140622,56,76,66
20140623,54,80,67
20140624,60,85,73
20140625,70,84,77
20140626,67,76,72
20140627,65,81,73
20140628,62,84,73
20140629,67,89,78
20140630,71,86,79
20140701,69,86,78
20140702,71,86,79
20140703,69,82,76
20140704,59,75,67
20140705,56,74,65
20140706,52,75,64
20140707,59,80,70
20140708,67,78,73
20140709,64,79,72
20140710,61,72,67
20140711,55,75,65
20140712,57,82,70
20140713,63,83,73
20140714,71,78,75
20140715,65,79,72
20140716,62,75,69
20140717,57,70,64
20140718,56,72,64
20140719,56,76,66
20140720,62,70,66
20140721,65,79,72
20140722,65,84,75
20140723,62,85,74
20140724,63,78,71
20140725,58,72,65
20140726,53,74,64
20140727,61,77,69
20140728,65,81,73
20140729,56,67,62
20140730,54,69,62
20140731,57,72,65
20140801,58,74,66
20140802,61,80,71
20140803,65,82,74
20140804,65,73,69
20140805,60,80,70
20140806,63,74,69
20140807,59,76,68
20140808,57,75,66
20140809,54,77,66
20140810,57,80,69
20140811,60,84,72
20140812,65,83,74
20140813,65,80,73
20140814,56,70,63
20140815,55,66,61
20140816,55,70,63
20140817,55,70,63
20140818,60,74,67
